src	dst
api.chat_tool_execution	dharma_swarm.daemon_config
api.chat_tool_execution	dharma_swarm.docker_sandbox
api.chat_tool_execution	dharma_swarm.models
api.chat_tool_execution	dharma_swarm.sandbox
api.chat_tool_execution	dharma_swarm.telos_gates
api.chat_tools	api.chat_tool_execution
api.chat_tools	api.main
api.chat_tools	dharma_swarm.archive
api.chat_tools	dharma_swarm.daemon_config
api.chat_tools	dharma_swarm.stigmergy
api.main	api.routers.agents
api.main	api.routers.chat
api.main	api.routers.commands
api.main	api.routers.control_surface
api.main	api.routers.dashboard_new
api.main	api.routers.evolution
api.main	api.routers.fleet
api.main	api.routers.graphql_router
api.main	api.routers.health
api.main	api.routers.holon
api.main	api.routers.lineage
api.main	api.routers.manifest
api.main	api.routers.model_pool
api.main	api.routers.modules
api.main	api.routers.ontology
api.main	api.routers.operator_coherence
api.main	api.routers.opportunities
api.main	api.routers.revenue
api.main	api.routers.runtime
api.main	api.routers.stigmergy
api.main	api.routers.telemetry
api.main	api.routers.verify
api.main	dharma_swarm.a2a.a2a_server
api.main	dharma_swarm.a2a.agent_card
api.main	dharma_swarm.a2a.agent_directory
api.main	dharma_swarm.a2a.node_gateway
api.main	dharma_swarm.api_keys
api.main	dharma_swarm.board.adapters.taskboard_adapter
api.main	dharma_swarm.board.event_log
api.main	dharma_swarm.board.facade
api.main	dharma_swarm.board.task_command_outbox
api.main	dharma_swarm.daemon_config
api.main	dharma_swarm.monitor
api.main	dharma_swarm.ontology_runtime
api.main	dharma_swarm.organism
api.main	dharma_swarm.swarm
api.main	dharma_swarm.traces
api.routers.agents	api.main
api.routers.agents	api.models
api.routers.agents	api.routers._agent_aliases
api.routers.agents	api.routers.chat
api.routers.agents	api.ws
api.routers.agents	dharma_swarm.agent_registry
api.routers.agents	dharma_swarm.conversation_log
api.routers.agents	dharma_swarm.models
api.routers.agents	dharma_swarm.ontology_agents
api.routers.agents	dharma_swarm.ontology_runtime
api.routers.chat	api.chat_tools
api.routers.chat	api.main
api.routers.chat	api.ws
api.routers.chat	dharma_swarm.api_keys
api.routers.chat	dharma_swarm.certified_lanes
api.routers.chat	dharma_swarm.conversation_distiller
api.routers.chat	dharma_swarm.conversation_log
api.routers.chat	dharma_swarm.models
api.routers.chat	dharma_swarm.runtime_provider
api.routers.commands	api.main
api.routers.commands	api.models
api.routers.commands	dharma_swarm.models
api.routers.control_surface	dharma_swarm.board.adapters.a2a_send_adapter
api.routers.control_surface	dharma_swarm.board.adapters.agentops_adapter
api.routers.control_surface	dharma_swarm.board.adapters.ds_goal_adapter
api.routers.control_surface	dharma_swarm.board.adapters.semantic_receipt_adapter
api.routers.control_surface	dharma_swarm.operator_core.control_surface
api.routers.control_surface	dharma_swarm.operator_core.control_surface_models
api.routers.dashboard_new	api.models
api.routers.dashboard_new	dharma_swarm
api.routers.dashboard_new	dharma_swarm.conversation_log
api.routers.dashboard_new	dharma_swarm.ecc_eval_harness
api.routers.dashboard_new	dharma_swarm.harness_audit
api.routers.dashboard_new	dharma_swarm.loop_supervisor
api.routers.evolution	api.models
api.routers.evolution	dharma_swarm.archive
api.routers.fleet	dharma_swarm.a2a.node_registry
api.routers.graphql_router	dharma_swarm.daemon_config
api.routers.graphql_router	dharma_swarm.ontology
api.routers.graphql_router	dharma_swarm.ontology_agents
api.routers.graphql_router	dharma_swarm.ontology_query
api.routers.graphql_router	dharma_swarm.ontology_runtime
api.routers.health	api.main
api.routers.health	api.models
api.routers.health	dharma_swarm.archive
api.routers.health	dharma_swarm.stigmergy
api.routers.holon	dharma_swarm
api.routers.holon	dharma_swarm.conversation_log
api.routers.holon	dharma_swarm.holon_bridge
api.routers.holon	dharma_swarm.holon_compass
api.routers.lineage	api.models
api.routers.lineage	dharma_swarm.lineage
api.routers.manifest	api.models
api.routers.manifest	dharma_swarm.autocatalytic_portfolio
api.routers.manifest	dharma_swarm.manifest_health
api.routers.model_pool	dharma_swarm
api.routers.model_pool	dharma_swarm.model_pool
api.routers.model_pool	dharma_swarm.model_status
api.routers.modules	api.models
api.routers.modules	api.module_truth
api.routers.ontology	api.models
api.routers.ontology	api.routers._agent_aliases
api.routers.ontology	dharma_swarm.ontology_runtime
api.routers.operator_coherence	dharma_swarm.operator_core.control_surface_models
api.routers.operator_coherence	dharma_swarm.operator_core.operator_coherence_cockpit
api.routers.opportunities	dharma_swarm.opportunity_dispatcher
api.routers.opportunities	dharma_swarm.opportunity_refill
api.routers.revenue	dharma_swarm.economic_engine
api.routers.revenue	dharma_swarm.organism
api.routers.revenue	dharma_swarm.revenue.spine
api.routers.runtime	api.models
api.routers.runtime	dharma_swarm.operator_views
api.routers.runtime	dharma_swarm.runtime_state
api.routers.stigmergy	api.models
api.routers.stigmergy	api.routers._agent_aliases
api.routers.stigmergy	dharma_swarm.stigmergy
api.routers.telemetry	api.models
api.routers.telemetry	dharma_swarm.runtime_state
api.routers.telemetry	dharma_swarm.runtime_telemetry_projector
api.routers.telemetry	dharma_swarm.telemetry_optimizer
api.routers.telemetry	dharma_swarm.telemetry_plane
api.routers.telemetry	dharma_swarm.telemetry_views
api.routers.telemetry	dharma_swarm.trace_attractor.cli
api.routers.telemetry	dharma_swarm.trace_attractor.projector
api.routers.verify	dharma_swarm.verify.github_app
api.routers.verify	dharma_swarm.verify.reviewer
api.routers.verify	dharma_swarm.verify.scorer
api.routers.viz	api.models
api.routers.viz	dharma_swarm.viz_projection
api.ws	dharma_swarm.api_keys
dharma_swarm	dharma_swarm.models
dharma_swarm	dharma_swarm.providers
dharma_swarm._remix.thinkodynamic_director_remix_v0_0_0_1	dharma_swarm.thinkodynamic_director
dharma_swarm.a2a.a2a_bridge	dharma_swarm.a2a.a2a_server
dharma_swarm.a2a.a2a_bridge	dharma_swarm.a2a.agent_card
dharma_swarm.a2a.a2a_bridge	dharma_swarm.a2a.spine_adapter
dharma_swarm.a2a.a2a_bridge	dharma_swarm.daemon_config
dharma_swarm.a2a.a2a_bridge	dharma_swarm.spine.receipt
dharma_swarm.a2a.a2a_client	dharma_swarm.a2a.a2a_server
dharma_swarm.a2a.a2a_client	dharma_swarm.a2a.agent_card
dharma_swarm.a2a.a2a_client	dharma_swarm.a2a.spine_adapter
dharma_swarm.a2a.a2a_client	dharma_swarm.correlation_context
dharma_swarm.a2a.a2a_cloud_contact	dharma_swarm.a2a.a2a_server
dharma_swarm.a2a.a2a_cloud_contact	dharma_swarm.a2a.contact_registry
dharma_swarm.a2a.a2a_cloud_contact	dharma_swarm.a2a.nats_transport
dharma_swarm.a2a.a2a_cloud_contact	dharma_swarm.runtime_state
dharma_swarm.a2a.a2a_cloud_contact	dharma_swarm.spine.identity
dharma_swarm.a2a.a2a_server	dharma_swarm.correlation_context
dharma_swarm.a2a.a2a_server	dharma_swarm.daemon_config
dharma_swarm.a2a.a2a_server	dharma_swarm.runtime_state
dharma_swarm.a2a.a2a_server	dharma_swarm.spine.identity
dharma_swarm.a2a.agent_card	dharma_swarm.daemon_config
dharma_swarm.a2a.agent_directory	dharma_swarm.a2a.agent_card
dharma_swarm.a2a.agent_directory	dharma_swarm.a2a.node_registry
dharma_swarm.a2a.agent_directory	dharma_swarm.daemon_config
dharma_swarm.a2a.agent_presence	dharma_swarm.daemon_config
dharma_swarm.a2a.mailbox_gateway	dharma_swarm.daemon_config
dharma_swarm.a2a.nats_transport	dharma_swarm.a2a.a2a_server
dharma_swarm.a2a.nats_transport	dharma_swarm.a2a.nats_transport_support
dharma_swarm.a2a.nats_transport	dharma_swarm.a2a.spine_adapter
dharma_swarm.a2a.nats_transport	dharma_swarm.runtime_state
dharma_swarm.a2a.nats_transport	dharma_swarm.spine.identity
dharma_swarm.a2a.nats_transport_support	dharma_swarm.a2a.a2a_server
dharma_swarm.a2a.nats_transport_support	dharma_swarm.spine.identity
dharma_swarm.a2a.node_gateway	dharma_swarm.a2a.a2a_server
dharma_swarm.a2a.node_gateway	dharma_swarm.a2a.agent_card
dharma_swarm.a2a.node_gateway	dharma_swarm.a2a.spine_adapter
dharma_swarm.a2a.node_gateway	dharma_swarm.daemon_config
dharma_swarm.a2a.node_registry	dharma_swarm.correlation_context
dharma_swarm.a2a.node_registry	dharma_swarm.daemon_config
dharma_swarm.a2a.registry_hydrator	dharma_swarm.a2a.agent_card
dharma_swarm.a2a.registry_hydrator	dharma_swarm.a2a.node_registry
dharma_swarm.a2a.registry_hydrator	dharma_swarm.daemon_config
dharma_swarm.a2a.spine_adapter	dharma_swarm.a2a.a2a_server
dharma_swarm.a2a.spine_adapter	dharma_swarm.spine.invoke
dharma_swarm.a2a.spine_adapter	dharma_swarm.spine.receipt
dharma_swarm.a2a.spine_adapter	dharma_swarm.spine.routing
dharma_swarm.a2a.task_receipt	dharma_swarm.daemon_config
dharma_swarm.a2a.verifier	dharma_swarm.a2a.contact_registry
dharma_swarm.active_inference	dharma_swarm.daemon_config
dharma_swarm.adaptive_autonomy	dharma_swarm.risk_patterns
dharma_swarm.agent_constitution	dharma_swarm
dharma_swarm.agent_constitution	dharma_swarm.daemon_config
dharma_swarm.agent_constitution	dharma_swarm.model_pool
dharma_swarm.agent_constitution	dharma_swarm.models
dharma_swarm.agent_install	dharma_swarm.agent_export
dharma_swarm.agent_registry	dharma_swarm
dharma_swarm.agent_registry	dharma_swarm.daemon_config
dharma_swarm.agent_registry	dharma_swarm.model_pool
dharma_swarm.agent_runner	dharma_swarm.active_inference
dharma_swarm.agent_runner	dharma_swarm.agent_constitution
dharma_swarm.agent_runner	dharma_swarm.agent_memory
dharma_swarm.agent_runner	dharma_swarm.agent_memory_manager
dharma_swarm.agent_runner	dharma_swarm.agent_registry
dharma_swarm.agent_runner	dharma_swarm.agent_runner_quality
dharma_swarm.agent_runner	dharma_swarm.config
