scc_id	size	members
0	10	dharma_swarm.dharma_attractor;dharma_swarm.lineage;dharma_swarm.ontology;dharma_swarm.ontology_hub;dharma_swarm.ontology_runtime;dharma_swarm.organism;dharma_swarm.telic_seam;dharma_swarm.telos_formal;dharma_swarm.telos_gates;dharma_swarm.telos_receipts
1	9	dharma_swarm;dharma_swarm.moonshot_provider;dharma_swarm.provider_policy;dharma_swarm.provider_transport;dharma_swarm.providers;dharma_swarm.router_v1;dharma_swarm.runtime_provider;dharma_swarm.smart_router;dharma_swarm.swarm_router
2	9	dharma_swarm.context;dharma_swarm.memory_kernel;dharma_swarm.memory_kernel.context_compiler_shadow;dharma_swarm.memory_kernel.context_eval;dharma_swarm.memory_kernel.context_eval_cases;dharma_swarm.memory_kernel.context_eval_render;dharma_swarm.memory_kernel.context_parity;dharma_swarm.memory_kernel.facade;dharma_swarm.memory_retrieval
3	7	dharma_swarm.dse_integration;dharma_swarm.evolution;dharma_swarm.info_geometry;dharma_swarm.jikoku_fitness;dharma_swarm.landscape;dharma_swarm.meta_evolution;dharma_swarm.sealed_packet_apply
4	6	api.chat_tools;api.main;api.routers.agents;api.routers.chat;api.routers.commands;api.routers.health
5	4	dharma_swarm.consistency_guard;dharma_swarm.fractal.room_health;dharma_swarm.guardian_crew;dharma_swarm.operator_brief.watchdog
6	4	dharma_swarm.operator_core.permission_payloads;dharma_swarm.operator_core.session_lifecycle;dharma_swarm.operator_core.session_payloads;dharma_swarm.operator_core.session_store
7	3	dharma_swarm.build_engine;dharma_swarm.custodians;dharma_swarm.foreman
8	3	dharma_swarm.evolution_roster;dharma_swarm.model_pool;dharma_swarm.ollama_config
9	3	dharma_swarm.memory_kernel.surface_specs_core;dharma_swarm.memory_kernel.surface_specs_extended;dharma_swarm.memory_kernel.surfaces
10	3	dharma_swarm.operator_core.onboarding;dharma_swarm.operator_core.onboarding.contract;dharma_swarm.operator_core.onboarding.receipt
11	2	dharma_swarm.api_keys;dharma_swarm.runtime_env_loader
12	2	dharma_swarm.docker_sandbox;dharma_swarm.sandbox
13	2	dharma_swarm.engine.hybrid_retriever;dharma_swarm.engine.retrieval_feedback
14	2	dharma_swarm.evolution_safety;dharma_swarm.evolution_safety_runtime
15	2	dharma_swarm.forge_v1.autoloop;dharma_swarm.forge_v1.autoloop_matrix
16	2	dharma_swarm.forge_v1.forge_v2.pr_suite_context;dharma_swarm.forge_v1.forge_v2.pr_suite_grader
17	2	dharma_swarm.forge_v1.forge_v2.pr_suite_harvest_loop;dharma_swarm.forge_v1.forge_v2.pr_suite_harvest_loop_cli
18	2	dharma_swarm.graph.executor;dharma_swarm.graph.scheduler
19	2	dharma_swarm.langgraph_parity.isolation;dharma_swarm.langgraph_parity.isolation_defaults
20	2	dharma_swarm.langgraph_parity.readiness;dharma_swarm.langgraph_parity.readiness_gates
21	2	dharma_swarm.message_bus;dharma_swarm.message_bus_bsp
22	2	dharma_swarm.orchestrator;dharma_swarm.orchestrator_bsp
23	2	dharma_swarm.smart_seed_selector;dharma_swarm.thinkodynamic_director
24	2	dharma_swarm.verify.reporter;dharma_swarm.verify.reviewer
